id1	id2	length	identity	similarity	gaps	score
ABCB5_Domain1	CDH17_Domain6	93	24.7	40.9	30.1	33.5
ABCB5_Domain1	CDH17_Domain7	58	25.9	37.9	27.6	28.5
ABCB5_Domain2	CDH17_Domain1	50	28	50	14	38.5
ABCB5_Domain2	CDH17_Domain2	124	20.2	36.3	32.3	36.5
ABCB5_Domain2	CDH17_Domain3	61	31.1	42.6	23	34
ABCB5_Domain2	CDH17_Domain4	43	23.3	34.9	14	26.5
ABCB5_Domain2	CDH17_Domain5	29	31	41.4	44.8	29.5
ABCB5_Domain2	CDH17_Domain6	74	24.3	31.1	37.8	28
ABCB5_Domain2	CDH17_Domain7	31	22.6	45.2	22.6	29
ABCB5_Domain3	CDH17_Domain1	22	31.8	50	NA	25
ABCB5_Domain3	CDH17_Domain2	70	25.7	37.1	18.6	33
ABCB5_Domain3	CDH17_Domain3	8	37.5	87.5	NA	23
ABCB5_Domain3	CDH17_Domain4	68	26.5	36.8	26.5	46.5
ABCB5_Domain3	CDH17_Domain5	55	29.1	40	21.8	45.5
ABCB5_Domain3	CDH17_Domain6	47	29.8	46.8	17	38.5
ABCB5_Domain3	CDH17_Domain7	15	20	53.3	NA	22
ABCB5_Domain4	CDH17_Domain1	74	25.7	40.5	20.3	27
ABCB5_Domain4	CDH17_Domain2	72	23.6	38.9	29.2	33
ABCB5_Domain4	CDH17_Domain3	99	23.2	42.4	20.2	32
ABCB5_Domain4	CDH17_Domain4	55	25.5	40	NA	31
ABCB5_Domain4	CDH17_Domain5	41	24.4	43.9	29.3	31
ABCB5_Domain4	CDH17_Domain6	53	20.8	35.8	28.3	29.5
ABCB5_Domain4	CDH17_Domain7	14	42.9	50	NA	24
ABCF3_Domain1	CDH17_Domain1	70	30	41.4	21.4	35.5
ABCF3_Domain1	CDH17_Domain2	41	22	39	22	29
ABCF3_Domain1	CDH17_Domain3	79	21.5	40.5	21.5	36
ABCF3_Domain1	CDH17_Domain4	23	30.4	43.5	NA	30
ABCF3_Domain1	CDH17_Domain5	92	20.7	26.1	58.7	23
ABCF3_Domain1	CDH17_Domain6	75	22.7	40	16	33
ABCF3_Domain1	CDH17_Domain7	11	45.5	54.5	NA	22
ABCF3_Domain2	CDH17_Domain1	81	19.8	42	34.6	30
ABCF3_Domain2	CDH17_Domain2	4	75	100	NA	22
ABCF3_Domain2	CDH17_Domain3	15	33.3	60	NA	25
ABCF3_Domain2	CDH17_Domain4	30	23.3	43.3	20	28.5
ABCF3_Domain2	CDH17_Domain5	37	29.7	45.9	18.9	25
ABCF3_Domain2	CDH17_Domain6	76	23.7	39.5	35.5	26.5
ABCF3_Domain2	CDH17_Domain7	66	21.2	36.4	19.7	25.5
ABCG2_Domain1	CDH17_Domain1	35	22.9	42.9	25.7	25
ABCG2_Domain1	CDH17_Domain2	83	21.7	41	25.3	35.5
ABCG2_Domain1	CDH17_Domain3	43	23.3	44.2	11.6	25.5
ABCG2_Domain1	CDH17_Domain4	39	23.1	56.4	25.6	30.5
ABCG2_Domain1	CDH17_Domain5	138	22.5	35.5	30.4	47
ABCG2_Domain1	CDH17_Domain6	95	23.2	40	20	43
ABCG2_Domain1	CDH17_Domain7	21	42.9	52.4	23.8	30
ABCG2_Domain2	CDH17_Domain1	24	29.2	58.3	NA	27.5
ABCG2_Domain2	CDH17_Domain2	90	17.8	35.6	36.7	36.5
ABCG2_Domain2	CDH17_Domain3	26	30.8	46.2	23.1	24.5
ABCG2_Domain2	CDH17_Domain4	32	37.5	43.8	25	28
ABCG2_Domain2	CDH17_Domain5	18	44.4	55.6	16.7	29
ABCG2_Domain2	CDH17_Domain6	81	21	35.8	35.8	31
ABCG2_Domain2	CDH17_Domain7	16	37.5	62.5	NA	31
ABI2_Domain1	CDH17_Domain1	30	26.7	53.3	23.3	19.5
ABI2_Domain1	CDH17_Domain2	36	30.6	38.9	25	19.5
ABI2_Domain1	CDH17_Domain3	16	37.5	50	NA	25
ABI2_Domain1	CDH17_Domain4	44	25	43.2	18.2	32
ABI2_Domain1	CDH17_Domain5	29	27.6	44.8	NA	20
ABI2_Domain1	CDH17_Domain6	46	32.6	43.5	17.4	23.5
ABI2_Domain1	CDH17_Domain7	4	75	75	NA	15
ABI2_Domain2	CDH17_Domain1	12	41.7	50	NA	22
ABI2_Domain2	CDH17_Domain2	26	23.1	50	NA	20.5
ABI2_Domain2	CDH17_Domain3	23	21.7	56.5	17.4	27.5
ABI2_Domain2	CDH17_Domain4	30	33.3	46.7	23.3	20.5
ABI2_Domain2	CDH17_Domain5	23	17.4	52.2	NA	25
ABI2_Domain2	CDH17_Domain6	22	31.8	59.1	NA	28.5
ABI2_Domain2	CDH17_Domain7	25	32	60	NA	33.5
ACTN1_Domain1	CDH17_Domain1	34	29.4	61.8	NA	29.5
ACTN1_Domain1	CDH17_Domain2	32	25	53.1	NA	21.5
ACTN1_Domain1	CDH17_Domain3	24	33.3	58.3	25	32
ACTN1_Domain1	CDH17_Domain4	33	30.3	39.4	NA	30
ACTN1_Domain1	CDH17_Domain5	56	25	39.3	25	33.5
ACTN1_Domain1	CDH17_Domain6	37	21.6	45.9	27	29.5
ACTN1_Domain1	CDH17_Domain7	34	20.6	44.1	17.6	21.5
ACTN1_Domain2	CDH17_Domain1	23	30.4	52.2	13	26
ACTN1_Domain2	CDH17_Domain2	12	41.7	58.3	NA	24
ACTN1_Domain2	CDH17_Domain3	62	29	40.3	14.5	30.5
ACTN1_Domain2	CDH17_Domain4	35	28.6	48.6	20	28.5
ACTN1_Domain2	CDH17_Domain5	65	30.8	43.1	24.6	38
ACTN1_Domain2	CDH17_Domain6	11	27.3	54.5	NA	21
ACTN1_Domain2	CDH17_Domain7	62	21	41.9	27.4	26
ACTN1_Domain3	CDH17_Domain1	10	30	70	NA	18
ACTN1_Domain3	CDH17_Domain2	9	44.4	55.6	NA	17
ACTN1_Domain3	CDH17_Domain3	13	23.1	61.5	NA	16
ACTN1_Domain3	CDH17_Domain4	20	25	40	NA	23
ACTN1_Domain3	CDH17_Domain5	33	21.2	30.3	48.5	21.5
ACTN1_Domain3	CDH17_Domain6	2	100	100	NA	14
ACTN1_Domain3	CDH17_Domain7	8	37.5	62.5	NA	18
ACTN1_Domain4	CDH17_Domain1	18	27.8	55.6	NA	22
ACTN1_Domain4	CDH17_Domain2	12	33.3	50	NA	18
ACTN1_Domain4	CDH17_Domain3	8	50	75	NA	21
ACTN1_Domain4	CDH17_Domain4	11	27.3	54.5	NA	19
ACTN1_Domain4	CDH17_Domain5	36	33.3	52.8	13.9	28
ACTN1_Domain4	CDH17_Domain6	13	38.5	61.5	NA	20
ACTN1_Domain4	CDH17_Domain7	15	33.3	53.3	NA	21
ACTN3_Domain1	CDH17_Domain1	34	26.5	61.8	NA	26.5
ACTN3_Domain1	CDH17_Domain2	44	20.5	47.7	13.6	23.5
ACTN3_Domain1	CDH17_Domain3	9	44.4	77.8	NA	25
ACTN3_Domain1	CDH17_Domain4	33	30.3	39.4	NA	24
ACTN3_Domain1	CDH17_Domain5	57	26.3	38.6	28.1	31
ACTN3_Domain1	CDH17_Domain6	37	21.6	43.2	27	27.5
ACTN3_Domain1	CDH17_Domain7	36	22.2	44.4	16.7	25.5
ACTN3_Domain2	CDH17_Domain1	23	34.8	52.2	13	28
ACTN3_Domain2	CDH17_Domain2	9	55.6	66.7	NA	26
ACTN3_Domain2	CDH17_Domain3	60	30	41.7	NA	34
ACTN3_Domain2	CDH17_Domain4	35	28.6	48.6	20	30.5
ACTN3_Domain2	CDH17_Domain5	35	22.9	42.9	NA	30.5
ACTN3_Domain2	CDH17_Domain6	10	50	70	NA	22
ACTN3_Domain2	CDH17_Domain7	64	25	40.6	35.9	34.5
ACTN3_Domain3	CDH17_Domain1	10	30	70	NA	19
ACTN3_Domain3	CDH17_Domain2	12	33.3	66.7	NA	15
ACTN3_Domain3	CDH17_Domain3	14	21.4	64.3	NA	16
ACTN3_Domain3	CDH17_Domain4	10	30	60	10	17
ACTN3_Domain3	CDH17_Domain5	11	36.4	54.5	NA	22
ACTN3_Domain3	CDH17_Domain6	6	33.3	83.3	NA	14
ACTN3_Domain3	CDH17_Domain7	8	37.5	62.5	NA	17
ACTN3_Domain4	CDH17_Domain1	16	31.2	56.2	NA	24
ACTN3_Domain4	CDH17_Domain2	21	23.8	47.6	33.3	20
ACTN3_Domain4	CDH17_Domain3	4	75	75	NA	17
ACTN3_Domain4	CDH17_Domain4	7	42.9	71.4	NA	18
ACTN3_Domain4	CDH17_Domain5	31	32.3	48.4	NA	27
ACTN3_Domain4	CDH17_Domain6	12	41.7	58.3	NA	19
ACTN3_Domain4	CDH17_Domain7	13	38.5	61.5	NA	21
ACTN4_Domain1	CDH17_Domain1	34	26.5	58.8	NA	25.5
ACTN4_Domain1	CDH17_Domain2	39	28.2	43.6	25.6	25.5
ACTN4_Domain1	CDH17_Domain3	41	17.1	46.3	12.2	27.5
ACTN4_Domain1	CDH17_Domain4	33	30.3	42.4	NA	29
ACTN4_Domain1	CDH17_Domain5	90	25.6	36.7	25.6	38
ACTN4_Domain1	CDH17_Domain6	37	21.6	45.9	27	29.5
ACTN4_Domain1	CDH17_Domain7	46	26.1	39.1	21.7	24
ACTN4_Domain2	CDH17_Domain1	23	34.8	52.2	13	27
ACTN4_Domain2	CDH17_Domain2	12	50	58.3	NA	25
ACTN4_Domain2	CDH17_Domain3	60	30	41.7	NA	34
ACTN4_Domain2	CDH17_Domain4	60	23.3	41.7	21.7	29
ACTN4_Domain2	CDH17_Domain5	58	29.3	41.4	25.9	34
ACTN4_Domain2	CDH17_Domain6	11	36.4	54.5	NA	22
ACTN4_Domain2	CDH17_Domain7	10	40	60	NA	22
ACTN4_Domain3	CDH17_Domain1	4	75	100	NA	17
ACTN4_Domain3	CDH17_Domain2	5	80	80	NA	21
ACTN4_Domain3	CDH17_Domain3	9	33.3	66.7	NA	17
ACTN4_Domain3	CDH17_Domain4	11	27.3	63.6	NA	18
ACTN4_Domain3	CDH17_Domain5	33	21.2	30.3	48.5	19.5
ACTN4_Domain3	CDH17_Domain6	2	100	100	NA	14
ACTN4_Domain3	CDH17_Domain7	8	37.5	62.5	NA	18
ACTN4_Domain4	CDH17_Domain1	16	31.2	56.2	NA	23
ACTN4_Domain4	CDH17_Domain2	9	33.3	77.8	NA	20
ACTN4_Domain4	CDH17_Domain3	4	100	100	NA	18
ACTN4_Domain4	CDH17_Domain4	14	28.6	57.1	NA	19
ACTN4_Domain4	CDH17_Domain5	30	30	60	NA	27
ACTN4_Domain4	CDH17_Domain6	13	38.5	69.2	NA	22
ACTN4_Domain4	CDH17_Domain7	24	29.2	50	NA	21.5
ACVR1_Domain1	CDH17_Domain1	5	40	100	NA	17
ACVR1_Domain1	CDH17_Domain2	13	46.2	46.2	NA	24
ACVR1_Domain1	CDH17_Domain3	6	33.3	66.7	NA	15
ACVR1_Domain1	CDH17_Domain4	4	75	100	NA	18
ACVR1_Domain1	CDH17_Domain5	4	75	100	NA	15
ACVR1_Domain1	CDH17_Domain6	8	50	75	NA	22
ACVR1_Domain1	CDH17_Domain7	6	66.7	66.7	NA	23
ACVR1_Domain2	CDH17_Domain1	26	30.8	50	15.4	30.5
ACVR1_Domain2	CDH17_Domain2	30	26.7	50	NA	26
ACVR1_Domain2	CDH17_Domain3	6	50	83.3	NA	23
ACVR1_Domain2	CDH17_Domain4	50	26	42	18	36.5
ACVR1_Domain2	CDH17_Domain5	99	20.2	33.3	27.3	33
ACVR1_Domain2	CDH17_Domain6	31	35.5	41.9	12.9	30.5
ACVR1_Domain2	CDH17_Domain7	28	21.4	53.6	NA	27.5
ADGRE5_Domain1	CDH17_Domain1	18	27.8	50	11.1	16.5
ADGRE5_Domain1	CDH17_Domain2	4	100	100	NA	19
ADGRE5_Domain1	CDH17_Domain3	12	41.7	50	NA	17
ADGRE5_Domain1	CDH17_Domain4	11	27.3	54.5	NA	15
ADGRE5_Domain1	CDH17_Domain5	13	38.5	61.5	NA	25
ADGRE5_Domain1	CDH17_Domain6	4	75	100	NA	18
ADGRE5_Domain1	CDH17_Domain7	47	19.1	29.8	40.4	27
ADGRE5_Domain2	CDH17_Domain1	4	75	100	NA	18
ADGRE5_Domain2	CDH17_Domain2	30	33.3	46.7	NA	35.5
ADGRE5_Domain2	CDH17_Domain3	6	50	66.7	NA	22
ADGRE5_Domain2	CDH17_Domain4	4	75	100	NA	18
ADGRE5_Domain2	CDH17_Domain5	19	31.6	47.4	26.3	22
ADGRE5_Domain2	CDH17_Domain6	4	50	100	NA	17
ADGRE5_Domain2	CDH17_Domain7	23	30.4	43.5	17.4	20.5
ADGRE5_Domain3	CDH17_Domain1	10	40	50	NA	18
ADGRE5_Domain3	CDH17_Domain2	13	30.8	46.2	NA	19
ADGRE5_Domain3	CDH17_Domain3	20	30	45	NA	24
ADGRE5_Domain3	CDH17_Domain4	48	29.2	43.8	25	48
ADGRE5_Domain3	CDH17_Domain5	7	57.1	71.4	NA	20
ADGRE5_Domain3	CDH17_Domain6	11	45.5	63.6	18.2	16.5
ADGRE5_Domain3	CDH17_Domain7	11	45.5	54.5	NA	29
ADGRE5_Domain4	CDH17_Domain1	4	75	75	NA	18
ADGRE5_Domain4	CDH17_Domain2	30	33.3	43.3	36.7	34.5
ADGRE5_Domain4	CDH17_Domain3	11	36.4	54.5	45.5	18
ADGRE5_Domain4	CDH17_Domain4	4	50	100	NA	17
ADGRE5_Domain4	CDH17_Domain5	4	100	100	NA	21
ADGRE5_Domain4	CDH17_Domain6	11	45.5	54.5	45.5	19
ADGRE5_Domain4	CDH17_Domain7	6	50	50	NA	19
ADGRE5_Domain5	CDH17_Domain1	15	26.7	40	NA	18
ADGRE5_Domain5	CDH17_Domain2	13	53.8	53.8	NA	24
ADGRE5_Domain5	CDH17_Domain3	24	33.3	50	NA	21
ADGRE5_Domain5	CDH17_Domain4	7	57.1	71.4	NA	25
ADGRE5_Domain5	CDH17_Domain5	22	27.3	50	22.7	22
ADGRE5_Domain5	CDH17_Domain6	11	54.5	54.5	NA	20
ADGRE5_Domain5	CDH17_Domain7	6	50	50	NA	20
ADGRE5_Domain6	CDH17_Domain1	7	42.9	57.1	NA	14
ADGRE5_Domain6	CDH17_Domain2	13	53.8	61.5	NA	21
ADGRE5_Domain6	CDH17_Domain3	7	42.9	42.9	NA	18
ADGRE5_Domain6	CDH17_Domain4	9	44.4	66.7	NA	19
ADGRE5_Domain6	CDH17_Domain5	4	100	100	NA	18
ADGRE5_Domain6	CDH17_Domain6	11	36.4	72.7	NA	24
ADGRE5_Domain6	CDH17_Domain7	29	34.5	34.5	13.8	24.5
ADGRG1_Domain1	CDH17_Domain1	6	50	100	NA	18
ADGRG1_Domain1	CDH17_Domain2	8	37.5	75	NA	22
ADGRG1_Domain1	CDH17_Domain3	7	28.6	57.1	NA	19
ADGRG1_Domain1	CDH17_Domain4	12	33.3	58.3	NA	22
ADGRG1_Domain1	CDH17_Domain5	7	57.1	71.4	NA	20
ADGRG1_Domain1	CDH17_Domain6	16	25	62.5	NA	18
ADGRG1_Domain1	CDH17_Domain7	5	80	100	NA	22
AGER_Domain1	CDH17_Domain1	27	29.6	66.7	14.8	27
AGER_Domain1	CDH17_Domain2	33	27.3	39.4	30.3	30
AGER_Domain1	CDH17_Domain3	26	34.6	50	NA	28
AGER_Domain1	CDH17_Domain4	18	33.3	61.1	16.7	23
AGER_Domain1	CDH17_Domain5	8	62.5	62.5	NA	22
AGER_Domain1	CDH17_Domain6	61	21.3	37.7	26.2	30
AGER_Domain1	CDH17_Domain7	51	29.4	41.2	29.4	25.5
AGER_Domain2	CDH17_Domain1	6	83.3	83.3	NA	27
AGER_Domain2	CDH17_Domain2	73	24.7	41.1	20.5	35
AGER_Domain2	CDH17_Domain3	44	27.3	36.4	22.7	40.5
AGER_Domain2	CDH17_Domain4	52	25	42.3	19.2	43.5
AGER_Domain2	CDH17_Domain5	16	31.2	43.8	NA	22
AGER_Domain2	CDH17_Domain6	27	33.3	48.1	NA	28.5
AGER_Domain2	CDH17_Domain7	13	61.5	69.2	23.1	23.5
AGER_Domain3	CDH17_Domain1	6	66.7	83.3	NA	21
AGER_Domain3	CDH17_Domain2	73	19.2	37	27.4	32.5
AGER_Domain3	CDH17_Domain3	25	28	32	16	24.5
AGER_Domain3	CDH17_Domain4	36	22.2	50	NA	28
AGER_Domain3	CDH17_Domain5	30	16.7	40	NA	26
AGER_Domain3	CDH17_Domain6	27	25.9	44.4	25.9	25
AGER_Domain3	CDH17_Domain7	38	28.9	39.5	26.3	23.5
AKT1_Domain1	CDH17_Domain1	52	25	42.3	11.5	29.5
AKT1_Domain1	CDH17_Domain2	34	23.5	47.1	NA	27
AKT1_Domain1	CDH17_Domain3	54	22.2	31.5	46.3	32
AKT1_Domain1	CDH17_Domain4	32	21.9	53.1	12.5	24
AKT1_Domain1	CDH17_Domain5	62	22.6	37.1	27.4	41.5
AKT1_Domain1	CDH17_Domain6	11	54.5	54.5	27.3	26
AKT1_Domain1	CDH17_Domain7	28	28.6	42.9	25	26
AKT1_Domain2	CDH17_Domain1	46	21.7	34.8	26.1	25.5
AKT1_Domain2	CDH17_Domain2	110	24.5	35.5	43.6	39.5
AKT1_Domain2	CDH17_Domain3	30	33.3	43.3	30	29
AKT1_Domain2	CDH17_Domain4	52	26.9	38.5	28.8	32.5
AKT1_Domain2	CDH17_Domain5	18	33.3	61.1	NA	29
AKT1_Domain2	CDH17_Domain6	7	71.4	85.7	NA	25
AKT1_Domain2	CDH17_Domain7	93	23.7	37.6	19.4	28.5
AKT1_Domain3	CDH17_Domain1	28	32.1	57.1	NA	36
AKT1_Domain3	CDH17_Domain2	14	42.9	57.1	21.4	19
AKT1_Domain3	CDH17_Domain3	18	50	55.6	NA	39
AKT1_Domain3	CDH17_Domain4	9	44.4	77.8	NA	24
AKT1_Domain3	CDH17_Domain5	46	26.1	39.1	34.8	25.5
AKT1_Domain3	CDH17_Domain6	61	21.3	42.6	31.1	34
AKT1_Domain3	CDH17_Domain7	15	40	46.7	26.7	25.5
AMBP_Domain1	CDH17_Domain1	21	42.9	52.4	NA	27.5
AMBP_Domain1	CDH17_Domain2	13	30.8	53.8	NA	18
AMBP_Domain1	CDH17_Domain3	7	42.9	85.7	NA	18
AMBP_Domain1	CDH17_Domain4	7	57.1	71.4	NA	18
AMBP_Domain1	CDH17_Domain5	7	57.1	71.4	NA	22
AMBP_Domain1	CDH17_Domain6	20	35	45	20	18.5
AMBP_Domain1	CDH17_Domain7	9	44.4	44.4	NA	18
AMBP_Domain2	CDH17_Domain1	5	80	80	NA	21
AMBP_Domain2	CDH17_Domain2	6	50	66.7	NA	20
AMBP_Domain2	CDH17_Domain3	9	44.4	55.6	NA	19
AMBP_Domain2	CDH17_Domain4	9	33.3	66.7	NA	20
AMBP_Domain2	CDH17_Domain5	5	60	80	NA	16
AMBP_Domain2	CDH17_Domain6	20	30	60	15	24
AMBP_Domain2	CDH17_Domain7	9	55.6	77.8	NA	23
ATM_Domain1	CDH17_Domain1	11	54.5	63.6	NA	29
ATM_Domain1	CDH17_Domain2	66	21.2	45.5	24.2	39
ATM_Domain1	CDH17_Domain3	57	28.1	47.4	NA	34.5
ATM_Domain1	CDH17_Domain4	111	20.7	31.5	37.8	42
ATM_Domain1	CDH17_Domain5	53	20.8	45.3	30.2	31.5
ATM_Domain1	CDH17_Domain6	41	26.8	51.2	NA	35.5
ATM_Domain1	CDH17_Domain7	61	27.9	42.6	26.2	35
ATM_Domain2	CDH17_Domain1	57	22.8	42.1	NA	36.5
ATM_Domain2	CDH17_Domain2	58	22.4	36.2	17.2	29.5
ATM_Domain2	CDH17_Domain3	49	30.6	46.9	NA	26.5
ATM_Domain2	CDH17_Domain4	54	20.4	38.9	35.2	31.5
ATM_Domain2	CDH17_Domain5	43	25.6	39.5	16.3	23.5
ATM_Domain2	CDH17_Domain6	75	18.7	28	45.3	27
ATM_Domain2	CDH17_Domain7	35	22.9	45.7	NA	27
ATM_Domain3	CDH17_Domain1	13	30.8	53.8	NA	16
ATM_Domain3	CDH17_Domain2	41	22	39	51.2	26.5
ATM_Domain3	CDH17_Domain3	22	36.4	50	27.3	23
ATM_Domain3	CDH17_Domain4	26	19.2	42.3	NA	23
ATM_Domain3	CDH17_Domain5	14	28.6	71.4	NA	17
ATM_Domain3	CDH17_Domain6	33	24.2	45.5	24.2	21
ATM_Domain3	CDH17_Domain7	22	31.8	54.5	NA	20.5
BCAR1_Domain1	CDH17_Domain1	27	29.6	48.1	NA	24.5
BCAR1_Domain1	CDH17_Domain2	10	40	50	NA	19
BCAR1_Domain1	CDH17_Domain3	17	41.2	52.9	29.4	23
BCAR1_Domain1	CDH17_Domain4	34	29.4	52.9	26.5	21
BCAR1_Domain1	CDH17_Domain5	20	35	55	30	26.5
BCAR1_Domain1	CDH17_Domain6	30	36.7	46.7	30	32.5
BCAR1_Domain1	CDH17_Domain7	11	36.4	45.5	NA	18
BMPR2_Domain1	CDH17_Domain1	28	28.6	50	14.3	28
BMPR2_Domain1	CDH17_Domain2	132	19.7	37.1	25	41
BMPR2_Domain1	CDH17_Domain3	12	58.3	75	NA	30
BMPR2_Domain1	CDH17_Domain4	53	26.4	34	20.8	34.5
BMPR2_Domain1	CDH17_Domain5	43	27.9	44.2	16.3	32.5
BMPR2_Domain1	CDH17_Domain6	35	37.1	54.3	NA	38
BMPR2_Domain1	CDH17_Domain7	27	33.3	51.9	11.1	33.5
BRCA1_Domain1	CDH17_Domain1	53	26.4	43.4	20.8	31.5
BRCA1_Domain1	CDH17_Domain2	13	30.8	61.5	NA	19
BRCA1_Domain1	CDH17_Domain3	11	45.5	72.7	NA	19
BRCA1_Domain1	CDH17_Domain4	15	26.7	53.3	NA	21
BRCA1_Domain1	CDH17_Domain5	23	30.4	47.8	26.1	26.5
BRCA1_Domain1	CDH17_Domain6	29	20.7	37.9	24.1	17
BRCA1_Domain1	CDH17_Domain7	19	36.8	52.6	10.5	20.5
BRCA1_Domain2	CDH17_Domain1	60	25	40	23.3	30.5
BRCA1_Domain2	CDH17_Domain2	29	27.6	51.7	24.1	23.5
BRCA1_Domain2	CDH17_Domain3	23	26.1	47.8	NA	28
BRCA1_Domain2	CDH17_Domain4	26	30.8	46.2	23.1	22.5
BRCA1_Domain2	CDH17_Domain5	53	20.8	34	47.2	23
BRCA1_Domain2	CDH17_Domain6	55	23.6	38.2	21.8	25
BRCA1_Domain2	CDH17_Domain7	45	31.1	48.9	17.8	33.5
BSG_Domain1	CDH17_Domain1	12	41.7	58.3	NA	26
BSG_Domain1	CDH17_Domain2	13	38.5	69.2	NA	28
BSG_Domain1	CDH17_Domain3	30	26.7	46.7	30	23.5
BSG_Domain1	CDH17_Domain4	33	24.2	48.5	18.2	22
BSG_Domain1	CDH17_Domain5	23	21.7	52.2	NA	22
BSG_Domain1	CDH17_Domain6	37	21.6	37.8	24.3	20
BSG_Domain1	CDH17_Domain7	59	22	39	32.2	25.5
BSG_Domain2	CDH17_Domain1	20	35	50	10	21.5
BSG_Domain2	CDH17_Domain2	41	26.8	48.8	26.8	23
BSG_Domain2	CDH17_Domain3	49	18.4	46.9	22.4	32
BSG_Domain2	CDH17_Domain4	48	33.3	50	NA	39.5
BSG_Domain2	CDH17_Domain5	87	27.6	36.8	28.7	30
BSG_Domain2	CDH17_Domain6	6	83.3	83.3	NA	22
BSG_Domain2	CDH17_Domain7	8	50	62.5	NA	23
BSG_Domain3	CDH17_Domain1	64	20.3	42.2	NA	37
BSG_Domain3	CDH17_Domain2	21	33.3	47.6	NA	31
BSG_Domain3	CDH17_Domain3	19	26.3	36.8	31.6	22.5
BSG_Domain3	CDH17_Domain4	44	27.3	47.7	NA	38
BSG_Domain3	CDH17_Domain5	68	20.6	35.3	30.9	32
BSG_Domain3	CDH17_Domain6	20	30	55	NA	26
BSG_Domain3	CDH17_Domain7	55	21.8	41.8	NA	37
CADM1_Domain1	CDH17_Domain1	61	26.2	41	26.2	27
CADM1_Domain1	CDH17_Domain2	64	20.3	32.8	46.9	26.5
CADM1_Domain1	CDH17_Domain3	26	19.2	50	NA	25
CADM1_Domain1	CDH17_Domain4	28	25	46.4	21.4	24.5
CADM1_Domain1	CDH17_Domain5	26	30.8	46.2	NA	21.5
CADM1_Domain1	CDH17_Domain6	9	22.2	77.8	NA	19
CADM1_Domain1	CDH17_Domain7	25	28	44	32	27.5
CADM1_Domain2	CDH17_Domain1	39	28.2	41	41	30
CADM1_Domain2	CDH17_Domain2	38	26.3	42.1	28.9	22.5
CADM1_Domain2	CDH17_Domain3	67	22.4	38.8	28.4	27.5
CADM1_Domain2	CDH17_Domain4	47	19.1	42.6	12.8	27.5
CADM1_Domain2	CDH17_Domain5	100	21	44	31	40.5
CADM1_Domain2	CDH17_Domain6	43	20.9	39.5	NA	21
CADM1_Domain2	CDH17_Domain7	5	60	100	NA	17
CADM1_Domain3	CDH17_Domain1	67	19.4	31.3	40.3	26.5
CADM1_Domain3	CDH17_Domain2	24	29.2	45.8	25	25.5
CADM1_Domain3	CDH17_Domain3	26	30.8	57.7	NA	41
CADM1_Domain3	CDH17_Domain4	13	23.1	69.2	NA	25
CADM1_Domain3	CDH17_Domain5	9	66.7	77.8	NA	25
CADM1_Domain3	CDH17_Domain6	80	17.5	37.5	36.2	34
